invoice_code	invoice_no
1200212130	08312969
1200212130	08312855
1200212130	08312835
1200212130	08312795
1200212130	08305285
1200212130	08305261
1200212130	08305220
1200212130	08305052
035002100111	59711946
033002200211	28744483
050002100311	64239280
011002200811	86287412
061002201311	10054455
041002200211	17376388
031002100511	73750948
053002200111	14336293
037022100211	07610493
032002200211	46601574
033002200411	43764853
011002200811	35285351
031002200211	45605385
050002200111	15429928
041002200211	26944221
037022100211	07610498
031002100611	23083787
011002200911	85841615
044002207111	23776894
1200202130	01961768
1200202130	01961583
1200203130	08571643
012002000311	76639398
012002000311	76639397
011002000611	89433783
042002100111	03555413
1200203130	08571508
1200203130	08571249
1200203130	08573305
1200204130	04827482
1200204130	04827339
1200204130	04826876
1200204130	04829103
1200204130	04828696
1200192130	01961369
1200194130	00698557
1200201130	01983121
1100211130	20921785
021002120111	02295368
5100211130	06506097
050002000213	11778235
1200212130	03586116
1200212130	03586090
1200212130	03586023
1200212130	03585992
1200212130	03585934
1200212130	03588526
1200212130	03588279
1200212130	03588111
3400211130	12898453
4403211130	09857801
4403211130	11671556
050002000211	52291925
031002000611	20845056
1200212130	03584341
1200212130	03584323
046001900111	52211020
3200211130	50782989
035002100111	59711942
1200212130	03587355
1200212130	03587334
1200212130	03586955
1200212130	03586909
1200212130	03586746
1200212130	03588633
1200212130	03588626
1200212130	03586539
1200212130	03586387
1200212130	03586346
1200212130	03586321
1200212130	03586313
1200212130	03586259
1200212130	03589840
1200212130	03589006
1200212130	03589447
1200212130	08305605
1200212130	08312994
1200212130	08312940
1200212130	08312889
061002101211	22469022
1200212130	08312749
1200212130	08305252
035002200211	17568856
032002200211	63318637
053002200111	13387938
032002200211	72107991
037002200111	81188784
052002200111	21120476
032002200211	31957745
032001600511	37402154
034002200111	59268114
051002100611	04782601
011002200911	55489450
044031900104	54445646
042001800311	85017211
011001900104	81608181
1200203130	08571697
1200203130	08571650
1200203130	08571180
1200203130	08572685
1200203130	08572609
1200204130	04829528
012002000511	02020761
1200204130	04828668
1200204130	04828443
1200204130	04828099
1200204130	04828035
1200204130	04827968
050002000111	56177845
1200192130	01961998
1200192130	01961988
1200192130	01961432
1200194130	00698562
050002000213	11778234
1200212130	03586057
1200212130	03586015
012002000511	02020058
012002000511	02020053
1200212130	03587496
1200212130	03587467
011002100211	51510754
1200212130	03588269
1200212130	03585572
1200212130	03585482
052001900211	60627234
1200212130	03588098
1200212130	03585282
033002000113	06933116
031002000311	91737339
034001700111	33973142
3502212130	06131428
2300211130	02751061
1200212130	03586721
1200212130	03586716
1200212130	03586661
1200212130	03586582
1200212130	03588609
1200212130	03586563
1200212130	03586304
1200212130	03586215
3200213130	33999255
1200212130	03589938
1200212130	03589829
052001900211	60627241
1200212130	03589339
1200212130	03589738
1200212130	03589473
1200212130	08313835
1200212130	08305701
1200212130	08305604
1200212130	08305577
1200212130	08305541
1200212130	08312868
1200212130	08305282
1200212130	08305273
1200212130	08305188
1200222130	00033816
035002100111	59711951
011002200811	86125428
053002200111	13387941
011002200811	35285344
051002200211	12763720
050002100311	64921350
046002100111	69351564
012002100811	86657611
050002200111	07979595
053002200111	13387937
044002200411	50333932
037002200111	78387518
037022000111	79455441
032002200211	05269421
032002000211	92788415
061002101311	75099975
031002200211	45605384
050002200111	14811043
037002200111	81188788
043002200111	07835252
043002100211	18017329
041002200211	26944229
033002200411	47143512
011002200911	55489452
011002200911	55489451
035002100113	11435563
1200202130	01961785
1200202130	01961224
1200203130	08571868
1200203130	08569290
1200203130	08568977
012002000411	22036062
1200203130	03053590
042001800311	85017235
1200204130	04827850
1200203130	08569595
1200203130	08571505
1200203130	08569491
1200203130	08570876
1200203130	08572564
1200203130	08572561
1200203130	08572554
1200203130	08571922
1200204130	04827477
1200204130	04827390
1200204130	04829323
1200204130	04830143
1200204130	04829053
1200204130	04829038
1200204130	04829857
1200192130	01961516
1200192130	01961514
1200192130	01961488
1200192130	01961399
1200192130	01961341
1200192130	01961221
012001900111	12405684
032001700311	54960910
051002100111	42639308
011002100511	10852918
044002100611	39111647
5100211130	14871605
1200212130	03586073
1200212130	03586047
1200212130	03586039
051002000611	68377132
1200212130	03588527
1200212130	03587508
1200212130	03588367
1200212130	03588358
1200212130	03588156
1200212130	03588133
1200212130	03588125
1200212130	03585267
1200212130	03585233
011002100211	51510739
051002000611	62674377
1200212130	03587976
011002100211	51510714
3300204130	21472865
1200212130	03584333
041002000104	06628582
050002100211	39577655
1200212130	03586693
1200212130	03586527
1200212130	03586337
1200212130	03586297
1200212130	03586277
1200212130	03586267
1200212130	03586188
1200212130	03589989
1200212130	03589780
1200212130	03589327
1200212130	03589674
1200212130	03589614
1200212130	03589606
1200212130	03589483
1200212130	08306081
1200212130	08305717
1200212130	08313431
1200212130	08305634
1200212130	08305613
1200212130	08312997
1200212130	08312989
1200212130	08312923
1200212130	08312885
1200212130	08312875
1200212130	08312837
1200212130	08312790
1200212130	08312784
1200212130	08305225
1200212130	08305222
032002000411	35122607
1200224130	00883392
011002200911	55489432
053002200111	14336325
011002200811	86125426
044032200211	21723758
035002100111	43502857
041002200211	08424893
045002100111	61848935
061002201311	10872375
021002200111	14985653
044002211211	13243241
013002200211	20169920
053002200111	14336069
044032200211	21360677
051002200211	12763732
1200202130	01961742
1200202130	01961460
1200202130	01961179
1200203130	00391940
1200203130	00390558
1200203130	08571858
1200203130	08569329
1200203130	08569315
1200203130	08568980
1200203130	03054870
1200203130	03054624
1200204130	04827888
1200204130	04827806
042002100111	03555416
1200204130	04829644
1200204130	04829500
